| sigma | PSNR +- std (noisy) [dB] | PSNR +- std (denoised) [dB] | optimal threshold |
|---|---|---|---|
|5.0 | 34.15 +- 0.01 | 38.15 +- 0.29 | 12.1 |
|10.0 | 28.14 +- 0.02 | 33.34 +- 0.88 | 36.2 |
|15.0 | 24.61 +- 0.01 | 32.75 +- 0.48 | 39.3 |
|20.0 | 22.14 +- 0.01 | 31.29 +- 0.63 | 57.4 |
|25.0 | 20.25 +- 0.01 | 30.55 +- 0.27 | 68.5 |
|30.0 | 18.73 +- 0.01 | 29.44 +- 0.30 | 78.5 |
|35.0 | 17.45 +- 0.01 | 28.72 +- 0.36 | 100.7 |
|40.0 | 16.38 +- 0.01 | 27.67 +- 0.42 | 105.7 |
|45.0 | 15.45 +- 0.01 | 26.88 +- 0.43 | 126.8 |
|50.0 | 14.65 +- 0.01 | 26.12 +- 0.53 | 145.0 |
